X,Y
320,231
320,231
323,226
323,227
326,223
319,229
313,230
311,233
318,232
320,230
321,226
322,225
323,222
323,221
319,222
319,223
320,223
323,221
326,220
326,222
318,226
317,225
317,224
318,223
320,223
321,220
323,218
322,219
322,219
324,217
322,219
326,220
323,222
324,223
324,222
324,221
326,218
326,219
326,219
326,218
329,216
331,215
330,212
318,213
318,213
325,216
326,214
326,215
328,216
327,216
328,214
328,213
327,213
326,215
325,215
324,217
324,218
325,216
326,217
325,218
323,219
323,218
326,219
328,218
326,221
327,221
326,220
325,222
326,223
327,223
325,224
325,231
322,245
323,250
327,241
330,228
326,224
316,227
313,236
321,246
332,244
339,231
315,226
301,225
319,238
352,241
342,236
318,238
287,235
300,242
349,235
362,236
356,234
307,249
269,240
269,237
318,237
363,232
350,235
317,241
269,240
